timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
3.7,0.48547,2.15,-0.09872,1.91,-0.12996,0.95
3.71,-0.28051,2.15,0.10649,0.95,0.07815,2.15
3.72,0.77069,2.15,0.11272,1.19,0.55237,1.67
3.73,-0.08335,1.91,0.23561,0.72,0.25949,1.19
3.74,0.11613,3.1,0.8651,2.15,0.44637,1.19
3.75,0.05132,1.91,0.71518,1.19,-0.2198,1.91
3.76,-0.12941,0.95,-0.01192,2.15,-0.06057,0.95
3.77,-0.20638,1.91,0.42057,1.67,0.10316,0.95
3.78,0.1725,1.19,0.40624,2.15,0.38142,1.91
3.79,-0.51861,0.95,-0.42005,0.95,0.32845,1.91
3.8,0.08159,2.15,0.21464,0.95,-0.28829,0.95
3.81,-0.07258,2.15,-0.39527,15.97,0.20104,5.96
3.82,0.60678,2.15,-0.1437,5.96,0.20398,2.15
3.83,0.51444,0.95,-0.45074,5.96,-0.01606,1.19
3.84,0.06521,0.95,0.04838,3.81,-0.43566,3.1
3.85,0.55219,1.19,0.29104,9.06,0.28273,1.91
3.86,0.29877,1.67,0.02921,9.78,-0.52933,1.19
3.87,0.29108,1.91,-0.32302,3.1,0.4953,0.95
3.88,0.47464,1.91,0.36175,4.29,-0.4734,1.19
3.89,-0.44416,0.95,-0.59464,6.2,-0.38068,0.95
3.9,0.27399,1.91,-0.05317,10.25,0.22193,1.91
3.91,-0.44642,0.95,0.29084,6.91,-0.36133,0.95
3.92,-0.1572,0.95,0.40937,11.92,-0.08274,2.15
3.93,0.2273,0.95,-0.64705,2.86,-0.2929,0.95
3.94,0.12824,0.95,-0.34,3.1,-0.04304,0.95
3.95,0.16948,1.91,0.45015,3.1,-0.03587,2.15
3.96,0.47803,1.91,-0.40799,1.91,-0.47789,0.95
3.97,0.29484,2.15,0.20743,2.15,-0.09478,1.19
3.98,-0.3119,1.91,0.04705,2.15,-0.12643,0.95
3.99,0.06524,1.19,-0.56112,3.81,-0.21839,1.91
4.0,0.04732,1.19,-0.37222,2.15,-0.03021,2.15
4.01,0.27474,1.91,0.16259,1.91,-0.92534,0.95
4.02,0.05249,2.15,0.17705,1.91,-0.50867,0.95
4.03,-0.71094,0.95,0.35441,0.72,-0.35436,2.15
4.04,0.20538,0.95,-0.08499,1.19,-0.10635,2.15
4.05,-0.67562,3.1,0.53677,1.19,0.02445,0.95
4.06,-0.40836,2.62,0.09187,0.95,0.15071,0.95
4.07,0.04768,1.91,0.78864,0.95,0.14953,0.95
4.08,-0.71494,2.15,-0.33956,2.15,-0.30882,0.95
4.09,-0.33493,1.67,0.56783,0.95,0.15006,1.91
4.1,0.22006,1.91,-0.14675,1.19,-0.05081,2.15
4.11,0.38127,0.95,0.51009,0.95,0.41698,0.95
4.12,-0.39758,1.91,-0.4645,0.95,0.18647,0.95
4.13,-0.45381,3.1,-0.22259,0.95,-0.09108,0.95
4.14,0.14905,2.86,0.03807,1.91,0.19585,0.95
4.15,0.4319,0.95,0.44363,2.15,0.83717,0.95
